,type,JI,source
164,snps,0.267527,BGI_T20_WGS_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
165,indels,0.458961,BGI_T20_WGS_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
166,snps,0.180374,WGS_WUX_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
167,indels,0.154673,WGS_WUX_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
168,snps,0.11735,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
169,indels,0.287424,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
170,snps,0.420395,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
171,indels,0.568882,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
172,snps,0.086171,BGI_T20_WGS_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
173,indels,0.212484,BGI_T20_WGS_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
174,snps,0.124539,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
175,indels,0.250838,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
176,snps,0.47166,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
177,indels,0.218646,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
178,snps,0.108773,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
179,indels,0.168486,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
180,snps,0.415858,BGI_T10_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
181,indels,0.259703,BGI_T10_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
182,snps,0.140715,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec.HCR
183,indels,0.241489,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec.HCR
184,snps,0.0944896,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
185,indels,0.17445,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
